GT	type	size	error	etype	correct.bkpt	sample
hom	INS	101	4	location/seq	TRUE	s0
hom	INS	797	3	location/seq	TRUE	s0
het	INS	156	6	location/seq	FALSE	s0
het	INS	51	12	location/seq	TRUE	s0
het	INS	133	10	location/seq	TRUE	s0
hom	INS	740	9	location/seq	TRUE	s0
het	INS	54	6	location/seq	TRUE	s0
het	INS	109	3	location/seq	TRUE	s0
het	INS	57	4	location/seq	TRUE	s0
hom	INS	390	7	location/seq	TRUE	s0
het	INS	110	7	location/seq	TRUE	s0
het	INS	100	5	location/seq	TRUE	s0
het	INS	54	4	location/seq	TRUE	s0
hom	INS	70	7	location/seq	TRUE	s0
het	INS	786	7	location/seq	TRUE	s0
het	INS	53	10	location/seq	TRUE	s0
het	INS	115	10	location/seq	TRUE	s0
het	INS	1159	11	location/seq	TRUE	s0
het	INS	206	11	location/seq	TRUE	s0
het	INS	97	6	location/seq	FALSE	s0
het	INS	867	11	location/seq	TRUE	s0
hom	INS	87	3	location/seq	TRUE	s0
hom	INS	95	3	location/seq	TRUE	s0
hom	INS	315	11	location/seq	TRUE	s0
hom	INS	82	5	location/seq	TRUE	s0
het	INS	52	4	location/seq	TRUE	s0
hom	INS	51	5	location/seq	TRUE	s0
het	INS	58	7	location/seq	TRUE	s0
het	INS	625	8	location/seq	TRUE	s0
het	INS	443	5	location/seq	TRUE	s0
het	INS	111	8	location/seq	TRUE	s0
het	INS	90	11	location/seq	TRUE	s0
hom	INS	204	10	location/seq	TRUE	s0
hom	INS	1385	2	location/seq	TRUE	s0
hom	INS	1785	11	location/seq	TRUE	s0
het	INS	67	11	location/seq	TRUE	s0
het	INS	280	8	location/seq	TRUE	s0
hom	INS	510	2	location/seq	TRUE	s0
het	INS	147	8	location/seq	TRUE	s0
hom	INS	114	7	location/seq	TRUE	s0
hom	INS	159	7	location/seq	TRUE	s0
het	INS	51	8	location/seq	TRUE	s0
hom	INS	1329	10	location/seq	FALSE	s0
hom	INS	51	9	location/seq	TRUE	s0
hom	INS	162	10	location/seq	TRUE	s0
hom	INS	146	10	location/seq	TRUE	s0
het	INS	273	5	location/seq	TRUE	s0
het	INS	184	5	location/seq	TRUE	s0
hom	INS	238	8	location/seq	TRUE	s0
het	INS	340	7	location/seq	TRUE	s0
het	INS	86	12	location/seq	TRUE	s0
hom	INS	176	5	location/seq	TRUE	s0
het	INS	129	7	location/seq	TRUE	s0
hom	INS	69	1	location/seq	TRUE	s0
het	INS	1040	3	location/seq	TRUE	s0
hom	INS	130	5	location/seq	TRUE	s0
hom	INS	74	7	location/seq	TRUE	s0
het	INS	133	4	location/seq	TRUE	s0
het	INS	70	4	location/seq	TRUE	s0
hom	INS	93	8	location/seq	TRUE	s0
hom	INS	76	7	location/seq	FALSE	s0
het	INS	66	11	location/seq	TRUE	s0
het	INS	751	2	location/seq	TRUE	s0
hom	INS	906	12	location/seq	TRUE	s0
hom	INS	53	8	location/seq	TRUE	s0
hom	INS	123	12	location/seq	TRUE	s0
hom	INS	247	10	location/seq	TRUE	s0
het	INS	107	3	location/seq	TRUE	s0
het	INS	844	6	location/seq	FALSE	s0
hom	INS	541	7	location/seq	TRUE	s0
het	INS	233	11	location/seq	FALSE	s0
hom	INS	199	8	location/seq	TRUE	s0
hom	INS	298	3	location/seq	TRUE	s0
het	INS	130	8	location/seq	TRUE	s0
het	INS	95	2	location/seq	TRUE	s0
het	INS	3993	8	location/seq	TRUE	s0
hom	INS	369	8	location/seq	TRUE	s0
het	INS	89	8	location/seq	TRUE	s0
hom	INS	67	7	location/seq	TRUE	s0
het	INS	329	2	location/seq	TRUE	s0
het	INS	322	3	location/seq	TRUE	s0
hom	INS	775	10	location/seq	TRUE	s0
het	INS	128	9	location/seq	TRUE	s0
hom	INS	130	5	location/seq	TRUE	s0
hom	INS	164	4	location/seq	TRUE	s0
hom	INS	111	12	location/seq	TRUE	s0
het	INS	76	10	location/seq	TRUE	s0
het	INS	671	8	location/seq	FALSE	s0
hom	INS	204	9	location/seq	FALSE	s0
het	INS	146	5	location/seq	TRUE	s0
hom	INS	68	8	location/seq	TRUE	s0
hom	INS	692	5	location/seq	TRUE	s0
hom	INS	269	3	location/seq	TRUE	s0
het	INS	62	6	location/seq	TRUE	s0
het	INS	493	8	location/seq	TRUE	s0
het	INS	85	3	location/seq	TRUE	s0
hom	INS	82	6	location/seq	TRUE	s0
hom	INS	177	3	location/seq	TRUE	s0
het	INS	130	11	location/seq	TRUE	s0
hom	INS	125	11	location/seq	TRUE	s0
hom	INS	409	2	location/seq	TRUE	s0
het	INS	69	7	location/seq	TRUE	s0
het	INS	105	3	location/seq	TRUE	s0
hom	INS	80	3	location/seq	TRUE	s0
hom	INS	58	2	location/seq	TRUE	s0
hom	INS	82	3	location/seq	TRUE	s0
het	INS	454	10	location/seq	TRUE	s0
het	INS	3844	8	location/seq	FALSE	s0
hom	INS	319	10	location/seq	TRUE	s0
hom	INS	177	3	location/seq	TRUE	s0
hom	INS	138	9	location/seq	TRUE	s0
hom	INS	67	9	location/seq	TRUE	s0
het	INS	86	11	location/seq	FALSE	s0
hom	INS	394	9	location/seq	TRUE	s0
hom	INS	114	10	location/seq	TRUE	s0
hom	INS	76	3	location/seq	TRUE	s0
het	INS	419	10	location/seq	TRUE	s0
het	INS	61	10	location/seq	FALSE	s0
het	INS	349	7	location/seq	TRUE	s0
het	INS	57	7	location/seq	TRUE	s0
hom	INS	73	1	location/seq	TRUE	s0
het	INS	579	10	location/seq	TRUE	s0
het	INS	2741	4	location/seq	TRUE	s0
hom	INS	79	10	location/seq	TRUE	s0
het	INS	51	10	location/seq	FALSE	s0
het	INS	171	8	location/seq	TRUE	s0
het	INS	537	7	location/seq	FALSE	s0
hom	INS	3385	6	location/seq	TRUE	s0
het	INS	115	5	location/seq	TRUE	s0
hom	INS	58	1	location/seq	TRUE	s0
het	INS	68	3	location/seq	TRUE	s0
hom	INS	224	2	location/seq	TRUE	s0
het	INS	130	3	location/seq	TRUE	s0
het	INS	486	6	location/seq	TRUE	s0
hom	INS	322	8	location/seq	TRUE	s0
hom	INS	342	5	location/seq	TRUE	s0
het	INS	172	4	location/seq	TRUE	s0
het	INS	77	9	location/seq	TRUE	s0
het	INS	63	4	location/seq	TRUE	s0
hom	INS	990	8	location/seq	TRUE	s0
hom	INS	258	9	location/seq	TRUE	s0
het	INS	182	2	location/seq	TRUE	s0
hom	INS	346	5	location/seq	TRUE	s0
het	INS	312	10	location/seq	TRUE	s0
het	INS	6355	7	location/seq	TRUE	s0
het	INS	171	10	location/seq	TRUE	s0
hom	INS	485	10	location/seq	TRUE	s0
hom	INS	1032	6	location/seq	TRUE	s0
hom	INS	77	12	location/seq	TRUE	s0
het	INS	98	12	location/seq	TRUE	s0
het	INS	6080	5	location/seq	FALSE	s0
het	INS	1375	3	location/seq	TRUE	s0
het	INS	90	9	location/seq	TRUE	s0
het	INS	336	3	location/seq	TRUE	s0
het	INS	185	8	location/seq	FALSE	s0
het	INS	644	8	location/seq	TRUE	s0
hom	INS	57	4	location/seq	TRUE	s0
hom	INS	235	11	location/seq	TRUE	s0
het	INS	332	4	location/seq	TRUE	s0
het	INS	537	6	location/seq	TRUE	s0
hom	INS	255	1	location/seq	TRUE	s0
hom	INS	284	3	location/seq	TRUE	s0
hom	INS	76	2	location/seq	TRUE	s0
het	INS	125	7	location/seq	TRUE	s0
hom	INS	287	3	location/seq	TRUE	s0
het	INS	161	7	location/seq	TRUE	s0
het	INS	323	6	location/seq	TRUE	s0
hom	INS	185	4	location/seq	TRUE	s0
hom	INS	100	8	location/seq	TRUE	s0
hom	INS	72	6	location/seq	TRUE	s0
het	INS	89	4	location/seq	TRUE	s0
het	INS	204	3	location/seq	TRUE	s0
hom	INS	216	5	location/seq	TRUE	s0
hom	INS	52	3	location/seq	TRUE	s0
hom	INS	85	5	location/seq	TRUE	s0
hom	INS	79	10	location/seq	TRUE	s0
het	INS	676	3	location/seq	TRUE	s0
hom	INS	56	3	location/seq	TRUE	s0
het	INS	185	3	location/seq	TRUE	s0
hom	INS	118	5	location/seq	TRUE	s0
hom	INS	94	8	location/seq	TRUE	s0
hom	INS	328	8	location/seq	TRUE	s0
het	INS	59	11	location/seq	TRUE	s0
het	INS	257	8	location/seq	TRUE	s0
hom	INS	104	12	location/seq	TRUE	s0
het	INS	204	12	location/seq	FALSE	s0
hom	INS	458	4	location/seq	FALSE	s0
hom	INS	740	5	location/seq	TRUE	s0
hom	INS	157	9	location/seq	TRUE	s0
hom	INS	2972	12	location/seq	TRUE	s0
het	INS	207	5	location/seq	TRUE	s0
hom	INS	56	5	location/seq	TRUE	s0
hom	INS	132	5	location/seq	TRUE	s0
het	INS	324	9	location/seq	TRUE	s0
hom	INS	62	6	location/seq	TRUE	s0
het	INS	327	6	location/seq	TRUE	s0
hom	INS	149	4	location/seq	FALSE	s0
het	INS	155	6	location/seq	TRUE	s0
het	INS	85	6	location/seq	TRUE	s0
hom	INS	422	3	location/seq	TRUE	s0
het	INS	247	8	location/seq	TRUE	s0
hom	INS	4521	3	location/seq	TRUE	s0
hom	INS	398	5	location/seq	TRUE	s0
het	INS	56	6	location/seq	TRUE	s0
het	INS	14854	6	location/seq	TRUE	s0
hom	INS	58	11	location/seq	TRUE	s0
het	INS	62	4	location/seq	TRUE	s0
het	INS	88	11	location/seq	TRUE	s0
het	INS	902	11	location/seq	TRUE	s0
het	INS	57	5	location/seq	TRUE	s0
het	INS	377	3	location/seq	FALSE	s0
hom	INS	157	6	location/seq	FALSE	s0
het	INS	414	5	location/seq	TRUE	s0
hom	INS	85	6	location/seq	TRUE	s0
hom	INS	92	7	location/seq	TRUE	s0
hom	INS	354	10	location/seq	TRUE	s0
hom	INS	149	10	location/seq	FALSE	s0
het	INS	119	5	location/seq	TRUE	s0
het	INS	1184	6	location/seq	TRUE	s0
het	INS	78	8	location/seq	FALSE	s0
hom	INS	425	11	location/seq	TRUE	s0
hom	INS	5414	5	location/seq	TRUE	s0
het	INS	12350	7	location/seq	TRUE	s0
het	INS	54	11	location/seq	FALSE	s0
het	INS	384	7	location/seq	TRUE	s0
hom	INS	132	7	location/seq	TRUE	s0
hom	INS	90	3	location/seq	TRUE	s0
het	INS	138	5	location/seq	TRUE	s0
hom	INS	51	4	location/seq	TRUE	s0
hom	INS	163	3	location/seq	TRUE	s0
het	INS	3897	8	location/seq	TRUE	s0
hom	INS	689	7	location/seq	TRUE	s0
het	INS	59	9	location/seq	TRUE	s0
hom	INS	154	8	location/seq	TRUE	s0
het	INS	271	6	location/seq	TRUE	s0
hom	INS	321	6	location/seq	TRUE	s0
het	INS	292	2	location/seq	TRUE	s0
het	INS	74	6	location/seq	TRUE	s0
het	INS	53	10	location/seq	TRUE	s0
hom	INS	82	3	location/seq	TRUE	s0
het	INS	60	7	location/seq	TRUE	s0
hom	INS	147	5	location/seq	TRUE	s0
het	INS	61	10	location/seq	TRUE	s0
het	INS	136	8	location/seq	TRUE	s0
hom	INS	160	7	location/seq	TRUE	s0
hom	INS	7301	3	location/seq	TRUE	s0
hom	INS	52	5	location/seq	TRUE	s0
hom	INS	186	11	location/seq	TRUE	s0
het	INS	175	9	location/seq	TRUE	s0
het	INS	321	4	location/seq	TRUE	s0
het	INS	320	10	location/seq	TRUE	s0
het	INS	60	5	location/seq	TRUE	s0
het	INS	686	12	location/seq	TRUE	s0
hom	INS	117	6	location/seq	TRUE	s0
het	INS	137	4	location/seq	TRUE	s0
hom	INS	5213	3	location/seq	TRUE	s0
het	INS	92	4	location/seq	TRUE	s0
het	INS	110	3	location/seq	TRUE	s0
hom	INS	243	9	location/seq	TRUE	s0
het	INS	121	4	location/seq	TRUE	s0
het	INS	689	9	location/seq	TRUE	s0
het	INS	195	6	location/seq	TRUE	s0
het	INS	163	10	location/seq	TRUE	s0
hom	INS	77	9	location/seq	TRUE	s0
het	INS	109	9	location/seq	TRUE	s0
hom	INS	91	9	location/seq	TRUE	s0
het	INS	336	11	location/seq	TRUE	s0
hom	INS	165	3	location/seq	TRUE	s0
het	INS	237	9	location/seq	TRUE	s0
hom	INS	142	5	location/seq	TRUE	s0
hom	INS	74	10	location/seq	TRUE	s0
hom	INS	150	3	location/seq	TRUE	s0
het	INS	272	10	location/seq	TRUE	s0
hom	INS	145	3	location/seq	TRUE	s0
hom	INS	330	10	location/seq	TRUE	s0
hom	INS	116	4	location/seq	TRUE	s0
het	INS	125	10	location/seq	TRUE	s0
hom	INS	127	11	location/seq	TRUE	s0
het	INS	352	4	location/seq	TRUE	s0
het	INS	422	5	location/seq	TRUE	s0
het	INS	300	1	location/seq	TRUE	s0
het	INS	885	9	location/seq	TRUE	s0
het	INS	111	11	location/seq	TRUE	s0
het	INS	222	5	location/seq	TRUE	s0
het	INS	197	4	location/seq	TRUE	s0
hom	INS	280	9	location/seq	TRUE	s0
het	INS	175	5	location/seq	TRUE	s0
het	INS	309	12	location/seq	TRUE	s0
hom	INS	69	10	location/seq	TRUE	s0
hom	INS	264	3	location/seq	TRUE	s0
hom	INS	330	3	location/seq	TRUE	s0
hom	INS	63	6	location/seq	TRUE	s0
hom	INS	343	8	location/seq	TRUE	s0
het	INS	146	5	location/seq	TRUE	s0
hom	INS	136	8	location/seq	TRUE	s0
het	INS	153	1	location/seq	TRUE	s0
hom	INS	287	9	location/seq	TRUE	s0
hom	INS	205	6	location/seq	TRUE	s0
hom	INS	791	8	location/seq	TRUE	s0
het	INS	304	7	location/seq	TRUE	s0
het	INS	76	10	location/seq	TRUE	s0
hom	INS	429	12	location/seq	TRUE	s0
hom	INS	188	12	location/seq	TRUE	s0
hom	INS	97	5	location/seq	TRUE	s0
hom	INS	150	2	location/seq	TRUE	s0
het	INS	112	5	location/seq	TRUE	s0
het	INS	245	7	location/seq	TRUE	s0
hom	INS	70	12	location/seq	TRUE	s0
het	INS	459	6	location/seq	TRUE	s0
hom	INS	146	5	location/seq	TRUE	s0
hom	INS	133	5	location/seq	TRUE	s0
hom	INS	106	6	location/seq	TRUE	s0
hom	INS	209	4	location/seq	TRUE	s0
hom	INS	303	3	location/seq	TRUE	s0
hom	INS	3962	3	location/seq	TRUE	s0
het	INS	205	5	location/seq	TRUE	s0
het	INS	1478	4	location/seq	TRUE	s0
hom	INS	305	11	location/seq	TRUE	s0
het	INS	78	5	location/seq	TRUE	s0
hom	INS	892	6	location/seq	TRUE	s0
het	INS	78	2	location/seq	TRUE	s0
het	INS	52	9	location/seq	TRUE	s0
het	INS	447	4	location/seq	TRUE	s0
het	INS	439	4	location/seq	TRUE	s0
hom	INS	121	3	location/seq	TRUE	s0
het	INS	196	1	location/seq	TRUE	s0
hom	INS	246	1	location/seq	TRUE	s0
het	INS	956	6	location/seq	TRUE	s0
het	INS	10834	10	location/seq	TRUE	s0
het	INS	2646	10	location/seq	TRUE	s0
het	INS	2145	8	location/seq	TRUE	s0
hom	INS	78	3	location/seq	TRUE	s0
het	INS	107	6	location/seq	FALSE	s0
hom	INS	427	3	location/seq	TRUE	s0
het	INS	3558	7	location/seq	FALSE	s0
het	INS	59	7	location/seq	TRUE	s0
hom	INS	53	2	location/seq	TRUE	s0
het	INS	591	1	location/seq	TRUE	s0
hom	INS	88	8	location/seq	TRUE	s0
hom	INS	62	3	location/seq	TRUE	s0
hom	INS	57	10	location/seq	TRUE	s0
hom	INS	314	8	location/seq	TRUE	s0
hom	INS	70	9	location/seq	TRUE	s0
het	INS	1101	9	location/seq	TRUE	s0
hom	INS	109	7	location/seq	TRUE	s0
hom	INS	173	8	location/seq	TRUE	s0
het	INS	69	10	location/seq	TRUE	s0
hom	INS	1895	2	location/seq	FALSE	s0
het	INS	90	5	location/seq	TRUE	s0
het	INS	53	4	location/seq	TRUE	s0
het	INS	55	10	location/seq	TRUE	s0
het	INS	322	6	location/seq	TRUE	s0
hom	INS	72	5	location/seq	TRUE	s0
het	INS	126	6	location/seq	TRUE	s0
het	INS	82	4	location/seq	TRUE	s0
hom	INS	379	4	location/seq	TRUE	s0
hom	INS	141	10	location/seq	TRUE	s0
hom	INS	1319	7	location/seq	TRUE	s0
het	INS	585	11	location/seq	TRUE	s0
hom	INS	69	7	location/seq	TRUE	s0
hom	INS	53	3	location/seq	TRUE	s0
het	INS	98	7	location/seq	TRUE	s0
het	INS	448	5	location/seq	TRUE	s0
het	INS	79	6	location/seq	TRUE	s0
hom	INS	248	9	location/seq	TRUE	s0
het	INS	78	5	location/seq	TRUE	s0
het	INS	56	8	location/seq	TRUE	s0
het	INS	151	8	location/seq	TRUE	s0
het	INS	148	6	location/seq	FALSE	s0
het	INS	184	11	location/seq	TRUE	s0
het	INS	85	3	location/seq	TRUE	s0
hom	INS	95	2	location/seq	TRUE	s0
het	INS	505	12	location/seq	TRUE	s0
hom	INS	190	8	location/seq	TRUE	s0
het	INS	81	1	location/seq	TRUE	s0
hom	INS	72	9	location/seq	FALSE	s0
hom	INS	154	12	location/seq	TRUE	s0
hom	INS	764	3	location/seq	TRUE	s0
hom	INS	201	3	location/seq	TRUE	s0
hom	INS	405	8	location/seq	TRUE	s0
hom	INS	224	5	location/seq	TRUE	s0
het	INS	60	11	location/seq	TRUE	s0
het	INS	173	8	location/seq	TRUE	s0
het	INS	407	8	location/seq	TRUE	s0
hom	INS	62	7	location/seq	TRUE	s0
het	INS	401	8	location/seq	TRUE	s0
het	INS	83	4	location/seq	TRUE	s0
het	INS	75	3	location/seq	TRUE	s0
het	INS	422	4	location/seq	TRUE	s0
het	INS	172	2	location/seq	TRUE	s0
het	INS	65	3	location/seq	TRUE	s0
het	INS	90	9	location/seq	TRUE	s0
het	INS	63	7	location/seq	TRUE	s0
hom	INS	101	3	location/seq	FALSE	s0
hom	INS	111	4	location/seq	TRUE	s0
hom	INS	135	5	location/seq	TRUE	s0
het	INS	127	10	location/seq	FALSE	s0
hom	INS	306	8	location/seq	TRUE	s0
het	INS	736	8	location/seq	FALSE	s0
het	INS	124	5	location/seq	TRUE	s0
hom	INS	414	3	location/seq	TRUE	s0
het	INS	103	7	location/seq	TRUE	s0
hom	INS	100	3	location/seq	TRUE	s0
hom	INS	71	7	location/seq	TRUE	s0
hom	INS	163	10	location/seq	TRUE	s0
het	INS	303	5	location/seq	TRUE	s0
hom	INS	225	10	location/seq	TRUE	s0
het	INS	6053	4	location/seq	TRUE	s0
het	INS	303	7	location/seq	TRUE	s0
hom	INS	234	7	location/seq	TRUE	s0
het	INS	5617	12	location/seq	TRUE	s0
het	INS	299	8	location/seq	TRUE	s0
hom	INS	136	4	location/seq	TRUE	s0
hom	INS	292	11	location/seq	TRUE	s0
het	INS	106	2	location/seq	TRUE	s0
hom	INS	719	10	location/seq	TRUE	s0
hom	INS	99	6	location/seq	TRUE	s0
het	INS	271	11	location/seq	TRUE	s0
hom	INS	141	11	location/seq	TRUE	s0
hom	INS	151	2	location/seq	TRUE	s0
het	INS	1285	7	location/seq	TRUE	s0
