type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	exp	method	sample	region	eval	min.cov
Total	7572	7573	1632	4930	0.8227	0.6057	0.6977	3	chmpd	smrtsv	chmpd	all	geno	0.5
INS	4271	4272	1042	2994	0.8039	0.5879	0.6791	3	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	3301	3301	590	1936	0.8484	0.6303	0.7233	3	chmpd	smrtsv	chmpd	all	geno	0.5
Total	7562	7563	1594	4940	0.8259	0.6049	0.6983	4	chmpd	smrtsv	chmpd	all	geno	0.5
INS	4268	4269	1012	2997	0.8083	0.5875	0.6804	4	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	3294	3294	582	1943	0.8498	0.629	0.7229	4	chmpd	smrtsv	chmpd	all	geno	0.5
Total	7501	7502	1487	5001	0.8346	0.6	0.6981	5	chmpd	smrtsv	chmpd	all	geno	0.5
INS	4229	4230	932	3036	0.8194	0.5822	0.6807	5	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	3272	3272	555	1965	0.855	0.6248	0.722	5	chmpd	smrtsv	chmpd	all	geno	0.5
Total	7388	7389	1396	5114	0.8411	0.591	0.6942	7	chmpd	smrtsv	chmpd	all	geno	0.5
INS	4179	4180	878	3086	0.8264	0.5753	0.6784	7	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	3209	3209	518	2028	0.861	0.6128	0.716	7	chmpd	smrtsv	chmpd	all	geno	0.5
Total	7233	7234	1298	5269	0.8478	0.5786	0.6878	10	chmpd	smrtsv	chmpd	all	geno	0.5
INS	4083	4084	817	3182	0.8333	0.5621	0.6713	10	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	3150	3150	481	2087	0.8675	0.6015	0.7104	10	chmpd	smrtsv	chmpd	all	geno	0.5
Total	7133	7134	1264	5369	0.8495	0.5706	0.6827	12	chmpd	smrtsv	chmpd	all	geno	0.5
INS	4025	4026	795	3240	0.8351	0.5541	0.6662	12	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	3108	3108	469	2129	0.8689	0.5935	0.7053	12	chmpd	smrtsv	chmpd	all	geno	0.5
Total	7133	7134	1262	5369	0.8497	0.5706	0.6827	14	chmpd	smrtsv	chmpd	all	geno	0.5
INS	4025	4026	793	3240	0.8354	0.5541	0.6663	14	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	3108	3108	469	2129	0.8689	0.5935	0.7053	14	chmpd	smrtsv	chmpd	all	geno	0.5
Total	7098	7099	1236	5404	0.8517	0.5678	0.6814	21	chmpd	smrtsv	chmpd	all	geno	0.5
INS	4008	4009	776	3257	0.8378	0.5517	0.6653	21	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	3090	3090	460	2147	0.8704	0.59	0.7033	21	chmpd	smrtsv	chmpd	all	geno	0.5
Total	7098	7099	1235	5404	0.8518	0.5678	0.6814	27	chmpd	smrtsv	chmpd	all	geno	0.5
INS	4008	4009	776	3257	0.8378	0.5517	0.6653	27	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	3090	3090	459	2147	0.8707	0.59	0.7034	27	chmpd	smrtsv	chmpd	all	geno	0.5
Total	7098	7099	1235	5404	0.8518	0.5678	0.6814	35	chmpd	smrtsv	chmpd	all	geno	0.5
INS	4008	4009	776	3257	0.8378	0.5517	0.6653	35	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	3090	3090	459	2147	0.8707	0.59	0.7034	35	chmpd	smrtsv	chmpd	all	geno	0.5
Total	7098	7099	1235	5404	0.8518	0.5678	0.6814	45	chmpd	smrtsv	chmpd	all	geno	0.5
INS	4008	4009	776	3257	0.8378	0.5517	0.6653	45	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	3090	3090	459	2147	0.8707	0.59	0.7034	45	chmpd	smrtsv	chmpd	all	geno	0.5
Total	7098	7099	1235	5404	0.8518	0.5678	0.6814	50	chmpd	smrtsv	chmpd	all	geno	0.5
INS	4008	4009	776	3257	0.8378	0.5517	0.6653	50	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	3090	3090	459	2147	0.8707	0.59	0.7034	50	chmpd	smrtsv	chmpd	all	geno	0.5
Total	7098	7099	1235	5404	0.8518	0.5678	0.6814	60	chmpd	smrtsv	chmpd	all	geno	0.5
INS	4008	4009	776	3257	0.8378	0.5517	0.6653	60	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	3090	3090	459	2147	0.8707	0.59	0.7034	60	chmpd	smrtsv	chmpd	all	geno	0.5
Total	7098	7099	1235	5404	0.8518	0.5678	0.6814	75	chmpd	smrtsv	chmpd	all	geno	0.5
INS	4008	4009	776	3257	0.8378	0.5517	0.6653	75	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	3090	3090	459	2147	0.8707	0.59	0.7034	75	chmpd	smrtsv	chmpd	all	geno	0.5
Total	7098	7099	1235	5404	0.8518	0.5678	0.6814	90	chmpd	smrtsv	chmpd	all	geno	0.5
INS	4008	4009	776	3257	0.8378	0.5517	0.6653	90	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	3090	3090	459	2147	0.8707	0.59	0.7034	90	chmpd	smrtsv	chmpd	all	geno	0.5
Total	7098	7099	1235	5404	0.8518	0.5678	0.6814	99	chmpd	smrtsv	chmpd	all	geno	0.5
INS	4008	4009	776	3257	0.8378	0.5517	0.6653	99	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	3090	3090	459	2147	0.8707	0.59	0.7034	99	chmpd	smrtsv	chmpd	all	geno	0.5
Total	NA	NA	NA	NA	NA	NA	NA	110	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	110	chmpd	smrtsv	chmpd	all	geno	0.5
INS	NA	NA	NA	NA	NA	NA	NA	110	chmpd	smrtsv	chmpd	all	geno	0.5
INV	NA	NA	NA	NA	NA	NA	NA	110	chmpd	smrtsv	chmpd	all	geno	0.5
Total	NA	NA	NA	NA	NA	NA	NA	133	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	133	chmpd	smrtsv	chmpd	all	geno	0.5
INS	NA	NA	NA	NA	NA	NA	NA	133	chmpd	smrtsv	chmpd	all	geno	0.5
INV	NA	NA	NA	NA	NA	NA	NA	133	chmpd	smrtsv	chmpd	all	geno	0.5
Total	NA	NA	NA	NA	NA	NA	NA	167	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	167	chmpd	smrtsv	chmpd	all	geno	0.5
INS	NA	NA	NA	NA	NA	NA	NA	167	chmpd	smrtsv	chmpd	all	geno	0.5
INV	NA	NA	NA	NA	NA	NA	NA	167	chmpd	smrtsv	chmpd	all	geno	0.5
Total	NA	NA	NA	NA	NA	NA	NA	180	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	180	chmpd	smrtsv	chmpd	all	geno	0.5
INS	NA	NA	NA	NA	NA	NA	NA	180	chmpd	smrtsv	chmpd	all	geno	0.5
INV	NA	NA	NA	NA	NA	NA	NA	180	chmpd	smrtsv	chmpd	all	geno	0.5
Total	NA	NA	NA	NA	NA	NA	NA	250	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	250	chmpd	smrtsv	chmpd	all	geno	0.5
INS	NA	NA	NA	NA	NA	NA	NA	250	chmpd	smrtsv	chmpd	all	geno	0.5
INV	NA	NA	NA	NA	NA	NA	NA	250	chmpd	smrtsv	chmpd	all	geno	0.5
Total	NA	NA	NA	NA	NA	NA	NA	350	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	350	chmpd	smrtsv	chmpd	all	geno	0.5
INS	NA	NA	NA	NA	NA	NA	NA	350	chmpd	smrtsv	chmpd	all	geno	0.5
INV	NA	NA	NA	NA	NA	NA	NA	350	chmpd	smrtsv	chmpd	all	geno	0.5
Total	NA	NA	NA	NA	NA	NA	NA	450	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	450	chmpd	smrtsv	chmpd	all	geno	0.5
INS	NA	NA	NA	NA	NA	NA	NA	450	chmpd	smrtsv	chmpd	all	geno	0.5
INV	NA	NA	NA	NA	NA	NA	NA	450	chmpd	smrtsv	chmpd	all	geno	0.5
Total	NA	NA	NA	NA	NA	NA	NA	550	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	550	chmpd	smrtsv	chmpd	all	geno	0.5
INS	NA	NA	NA	NA	NA	NA	NA	550	chmpd	smrtsv	chmpd	all	geno	0.5
INV	NA	NA	NA	NA	NA	NA	NA	550	chmpd	smrtsv	chmpd	all	geno	0.5
Total	NA	NA	NA	NA	NA	NA	NA	650	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	650	chmpd	smrtsv	chmpd	all	geno	0.5
INS	NA	NA	NA	NA	NA	NA	NA	650	chmpd	smrtsv	chmpd	all	geno	0.5
INV	NA	NA	NA	NA	NA	NA	NA	650	chmpd	smrtsv	chmpd	all	geno	0.5
Total	3465	3423	72	931	0.9796	0.7862	0.8723	0	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	2036	1994	54	683	0.9742	0.7449	0.8443	0	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	1429	1429	18	248	0.9876	0.8521	0.9149	0	chmpd	smrtsv	chmpd	nonrep	call	0.5
Total	3465	3423	72	931	0.9796	0.7862	0.8723	2	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	2036	1994	54	683	0.9742	0.7449	0.8443	2	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	1429	1429	18	248	0.9876	0.8521	0.9149	2	chmpd	smrtsv	chmpd	nonrep	call	0.5
Total	3465	3423	72	931	0.9796	0.7862	0.8723	3	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	2036	1994	54	683	0.9742	0.7449	0.8443	3	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	1429	1429	18	248	0.9876	0.8521	0.9149	3	chmpd	smrtsv	chmpd	nonrep	call	0.5
Total	3464	3422	70	932	0.9802	0.7859	0.8724	4	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	2036	1994	52	683	0.9751	0.7449	0.8446	4	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	1428	1428	18	249	0.9876	0.8515	0.9145	4	chmpd	smrtsv	chmpd	nonrep	call	0.5
Total	3448	3407	60	947	0.9829	0.7825	0.8713	5	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	2032	1991	43	686	0.9793	0.7437	0.8454	5	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	1416	1416	17	261	0.9881	0.8444	0.9106	5	chmpd	smrtsv	chmpd	nonrep	call	0.5
Total	3404	3363	52	991	0.985	0.7724	0.8658	7	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	2021	1980	38	697	0.9815	0.7396	0.8436	7	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	1383	1383	14	294	0.99	0.8247	0.8998	7	chmpd	smrtsv	chmpd	nonrep	call	0.5
Total	3345	3307	49	1047	0.9856	0.7595	0.8579	10	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	1993	1955	36	722	0.9823	0.7303	0.8378	10	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	1352	1352	13	325	0.9905	0.8062	0.8889	10	chmpd	smrtsv	chmpd	nonrep	call	0.5
Total	3306	3268	47	1086	0.986	0.7506	0.8523	12	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	1965	1927	34	750	0.983	0.7198	0.8311	12	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	1341	1341	13	336	0.9904	0.7996	0.8848	12	chmpd	smrtsv	chmpd	nonrep	call	0.5
Total	3305	3267	47	1087	0.986	0.7503	0.8522	14	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	1964	1926	34	751	0.983	0.7195	0.8309	14	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	1341	1341	13	336	0.9904	0.7996	0.8848	14	chmpd	smrtsv	chmpd	nonrep	call	0.5
Total	3294	3256	46	1098	0.9862	0.7478	0.8506	21	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	1955	1917	33	760	0.9834	0.7161	0.8287	21	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	1339	1339	13	338	0.9904	0.7984	0.8841	21	chmpd	smrtsv	chmpd	nonrep	call	0.5
Total	3294	3256	46	1098	0.9862	0.7478	0.8506	27	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	1955	1917	33	760	0.9834	0.7161	0.8287	27	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	1339	1339	13	338	0.9904	0.7984	0.8841	27	chmpd	smrtsv	chmpd	nonrep	call	0.5
Total	3294	3256	46	1098	0.9862	0.7478	0.8506	35	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	1955	1917	33	760	0.9834	0.7161	0.8287	35	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	1339	1339	13	338	0.9904	0.7984	0.8841	35	chmpd	smrtsv	chmpd	nonrep	call	0.5
Total	3294	3256	46	1098	0.9862	0.7478	0.8506	45	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	1955	1917	33	760	0.9834	0.7161	0.8287	45	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	1339	1339	13	338	0.9904	0.7984	0.8841	45	chmpd	smrtsv	chmpd	nonrep	call	0.5
Total	3294	3256	46	1098	0.9862	0.7478	0.8506	50	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	1955	1917	33	760	0.9834	0.7161	0.8287	50	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	1339	1339	13	338	0.9904	0.7984	0.8841	50	chmpd	smrtsv	chmpd	nonrep	call	0.5
Total	3294	3256	46	1098	0.9862	0.7478	0.8506	60	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	1955	1917	33	760	0.9834	0.7161	0.8287	60	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	1339	1339	13	338	0.9904	0.7984	0.8841	60	chmpd	smrtsv	chmpd	nonrep	call	0.5
Total	3294	3256	46	1098	0.9862	0.7478	0.8506	75	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	1955	1917	33	760	0.9834	0.7161	0.8287	75	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	1339	1339	13	338	0.9904	0.7984	0.8841	75	chmpd	smrtsv	chmpd	nonrep	call	0.5
Total	3294	3256	46	1098	0.9862	0.7478	0.8506	90	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	1955	1917	33	760	0.9834	0.7161	0.8287	90	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	1339	1339	13	338	0.9904	0.7984	0.8841	90	chmpd	smrtsv	chmpd	nonrep	call	0.5
Total	3294	3256	46	1098	0.9862	0.7478	0.8506	99	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	1955	1917	33	760	0.9834	0.7161	0.8287	99	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	1339	1339	13	338	0.9904	0.7984	0.8841	99	chmpd	smrtsv	chmpd	nonrep	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	110	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	110	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	NA	NA	NA	NA	NA	NA	NA	110	chmpd	smrtsv	chmpd	nonrep	call	0.5
INV	NA	NA	NA	NA	NA	NA	NA	110	chmpd	smrtsv	chmpd	nonrep	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	133	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	133	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	NA	NA	NA	NA	NA	NA	NA	133	chmpd	smrtsv	chmpd	nonrep	call	0.5
INV	NA	NA	NA	NA	NA	NA	NA	133	chmpd	smrtsv	chmpd	nonrep	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	167	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	167	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	NA	NA	NA	NA	NA	NA	NA	167	chmpd	smrtsv	chmpd	nonrep	call	0.5
INV	NA	NA	NA	NA	NA	NA	NA	167	chmpd	smrtsv	chmpd	nonrep	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	180	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	180	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	NA	NA	NA	NA	NA	NA	NA	180	chmpd	smrtsv	chmpd	nonrep	call	0.5
INV	NA	NA	NA	NA	NA	NA	NA	180	chmpd	smrtsv	chmpd	nonrep	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	250	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	250	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	NA	NA	NA	NA	NA	NA	NA	250	chmpd	smrtsv	chmpd	nonrep	call	0.5
INV	NA	NA	NA	NA	NA	NA	NA	250	chmpd	smrtsv	chmpd	nonrep	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	350	chmpd	smrtsv	chmpd	nonrep	call	0.5
