type	size	FN	FP	TP	TP.baseline	precision	recall	F1	exp	method	sample	region	eval	min.cov
DEL	(1e+03,2.5e+03]	68	10	194	194	0.951	0.7405	0.8327	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	(2.5e+03,5e+03]	31	2	100	100	0.9804	0.7634	0.8584	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	(200,300]	134	33	225	224	0.8721	0.6257	0.7286	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	(300,400]	201	40	662	663	0.943	0.7674	0.8462	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	(400,600]	55	6	94	94	0.94	0.6309	0.755	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	(5e+03,Inf]	43	1	87	87	0.9886	0.6692	0.7981	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	(600,800]	52	9	54	54	0.8571	0.5094	0.639	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	(800,1e+03]	28	3	49	49	0.9423	0.6364	0.7597	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	[50,100]	867	320	1258	1258	0.7972	0.592	0.6794	chmpd	smrtsv	chmpd	all	geno	0.5
INS	(100,200]	606	232	795	796	0.7741	0.5678	0.6551	chmpd	smrtsv	chmpd	all	geno	0.5
INS	(1e+03,2.5e+03]	191	28	297	297	0.9138	0.6086	0.7306	chmpd	smrtsv	chmpd	all	geno	0.5
INS	(2.5e+03,5e+03]	103	13	126	126	0.9065	0.5502	0.6848	chmpd	smrtsv	chmpd	all	geno	0.5
INS	(200,300]	262	99	324	323	0.766	0.5521	0.6417	chmpd	smrtsv	chmpd	all	geno	0.5
INS	(300,400]	306	53	704	704	0.93	0.697	0.7968	chmpd	smrtsv	chmpd	all	geno	0.5
INS	(400,600]	189	50	245	246	0.8305	0.5655	0.6728	chmpd	smrtsv	chmpd	all	geno	0.5
INS	(5e+03,Inf]	82	9	55	55	0.8594	0.4015	0.5473	chmpd	smrtsv	chmpd	all	geno	0.5
INS	(600,800]	112	22	185	185	0.8937	0.6229	0.7341	chmpd	smrtsv	chmpd	all	geno	0.5
INS	(800,1e+03]	57	10	117	117	0.9213	0.6724	0.7774	chmpd	smrtsv	chmpd	all	geno	0.5
INS	[50,100]	1089	496	1420	1420	0.7411	0.566	0.6418	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	(100,200]	23	5	151	151	0.9679	0.8678	0.9151	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	(1e+03,2.5e+03]	24	2	153	153	0.9871	0.8644	0.9217	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	(2.5e+03,5e+03]	11	1	59	59	0.9833	0.8429	0.9077	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	(200,300]	17	2	110	110	0.9821	0.8661	0.9205	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	(300,400]	83	4	574	574	0.9931	0.8737	0.9296	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	(400,600]	8	0	57	57	1	0.8769	0.9344	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	(5e+03,Inf]	22	0	73	73	1	0.7684	0.869	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	(600,800]	10	1	30	30	0.9677	0.75	0.8451	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	(800,1e+03]	7	0	40	40	1	0.8511	0.9196	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	[50,100]	44	3	181	181	0.9837	0.8044	0.8851	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	(100,200]	77	8	305	295	0.9744	0.793	0.8744	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	(1e+03,2.5e+03]	77	1	164	164	0.9939	0.6805	0.8079	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	(2.5e+03,5e+03]	49	3	97	96	0.97	0.6621	0.787	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	(200,300]	48	1	140	134	0.9929	0.7363	0.8456	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	(300,400]	153	8	561	562	0.9859	0.786	0.8747	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	(400,600]	40	1	107	108	0.9907	0.7297	0.8404	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	(5e+03,Inf]	48	3	42	42	0.9333	0.4667	0.6222	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	(600,800]	40	1	68	66	0.9855	0.6226	0.7631	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	(800,1e+03]	21	0	56	55	1	0.7237	0.8397	chmpd	smrtsv	chmpd	nonrep	call	0.5
INS	[50,100]	130	26	496	472	0.9502	0.7841	0.8592	chmpd	smrtsv	chmpd	nonrep	call	0.5
DEL	(100,200]	25	7	147	147	0.9545	0.8547	0.9018	chmpd	smrtsv	chmpd	nonrep	geno	0.5
DEL	(1e+03,2.5e+03]	28	6	149	149	0.9613	0.8418	0.8976	chmpd	smrtsv	chmpd	nonrep	geno	0.5
DEL	(2.5e+03,5e+03]	11	1	59	59	0.9833	0.8429	0.9077	chmpd	smrtsv	chmpd	nonrep	geno	0.5
DEL	(200,300]	20	5	109	109	0.9561	0.845	0.8971	chmpd	smrtsv	chmpd	nonrep	geno	0.5
DEL	(300,400]	90	11	567	567	0.981	0.863	0.9182	chmpd	smrtsv	chmpd	nonrep	geno	0.5
DEL	(400,600]	9	1	56	56	0.9825	0.8615	0.918	chmpd	smrtsv	chmpd	nonrep	geno	0.5
DEL	(5e+03,Inf]	23	1	72	72	0.9863	0.7579	0.8571	chmpd	smrtsv	chmpd	nonrep	geno	0.5
DEL	(600,800]	11	2	29	29	0.9355	0.725	0.8169	chmpd	smrtsv	chmpd	nonrep	geno	0.5
DEL	(800,1e+03]	7	0	40	40	1	0.8511	0.9196	chmpd	smrtsv	chmpd	nonrep	geno	0.5
DEL	[50,100]	46	5	176	176	0.9724	0.7928	0.8735	chmpd	smrtsv	chmpd	nonrep	geno	0.5
INS	(100,200]	101	33	280	271	0.8946	0.7285	0.8031	chmpd	smrtsv	chmpd	nonrep	geno	0.5
INS	(1e+03,2.5e+03]	81	5	160	160	0.9697	0.6639	0.7882	chmpd	smrtsv	chmpd	nonrep	geno	0.5
INS	(2.5e+03,5e+03]	51	5	95	94	0.95	0.6483	0.7707	chmpd	smrtsv	chmpd	nonrep	geno	0.5
INS	(200,300]	55	10	131	127	0.9291	0.6978	0.797	chmpd	smrtsv	chmpd	nonrep	geno	0.5
INS	(300,400]	159	14	555	556	0.9754	0.7776	0.8653	chmpd	smrtsv	chmpd	nonrep	geno	0.5
INS	(400,600]	47	8	100	101	0.9259	0.6824	0.7857	chmpd	smrtsv	chmpd	nonrep	geno	0.5
INS	(5e+03,Inf]	50	5	40	40	0.8889	0.4444	0.5926	chmpd	smrtsv	chmpd	nonrep	geno	0.5
INS	(600,800]	44	5	64	62	0.9275	0.5849	0.7174	chmpd	smrtsv	chmpd	nonrep	geno	0.5
INS	(800,1e+03]	23	2	54	53	0.9643	0.6974	0.8094	chmpd	smrtsv	chmpd	nonrep	geno	0.5
INS	[50,100]	157	59	463	445	0.887	0.7392	0.8064	chmpd	smrtsv	chmpd	nonrep	geno	0.5
DEL	(100,200]	276	68	762	762	0.9181	0.7341	0.8159	chmpd	vg	chmpd	all	call	0.5
DEL	(1e+03,2.5e+03]	50	5	212	212	0.977	0.8092	0.8852	chmpd	vg	chmpd	all	call	0.5
DEL	(2.5e+03,5e+03]	25	1	106	106	0.9907	0.8092	0.8908	chmpd	vg	chmpd	all	call	0.5
DEL	(200,300]	80	21	276	276	0.9293	0.7753	0.8453	chmpd	vg	chmpd	all	call	0.5
DEL	(300,400]	85	19	778	778	0.9762	0.9015	0.9374	chmpd	vg	chmpd	all	call	0.5
DEL	(400,600]	32	5	117	117	0.959	0.7852	0.8634	chmpd	vg	chmpd	all	call	0.5
DEL	(5e+03,Inf]	20	2	110	110	0.9821	0.8462	0.9091	chmpd	vg	chmpd	all	call	0.5
DEL	(600,800]	40	2	66	66	0.9706	0.6226	0.7586	chmpd	vg	chmpd	all	call	0.5
DEL	(800,1e+03]	25	1	52	52	0.9811	0.6753	0.8	chmpd	vg	chmpd	all	call	0.5
DEL	[50,100]	470	127	1662	1662	0.929	0.7795	0.8477	chmpd	vg	chmpd	all	call	0.5
INS	(100,200]	137	106	1266	1265	0.9227	0.9023	0.9124	chmpd	vg	chmpd	all	call	0.5
INS	(1e+03,2.5e+03]	40	19	448	448	0.9593	0.918	0.9382	chmpd	vg	chmpd	all	call	0.5
INS	(2.5e+03,5e+03]	47	4	182	182	0.9785	0.7948	0.8771	chmpd	vg	chmpd	all	call	0.5
INS	(200,300]	54	33	531	531	0.9415	0.9077	0.9243	chmpd	vg	chmpd	all	call	0.5
INS	(300,400]	62	17	948	948	0.9824	0.9386	0.96	chmpd	vg	chmpd	all	call	0.5
INS	(400,600]	27	15	408	408	0.9645	0.9379	0.951	chmpd	vg	chmpd	all	call	0.5
INS	(5e+03,Inf]	35	12	102	102	0.8947	0.7445	0.8127	chmpd	vg	chmpd	all	call	0.5
INS	(600,800]	14	5	283	283	0.9826	0.9529	0.9675	chmpd	vg	chmpd	all	call	0.5
INS	(800,1e+03]	12	7	162	162	0.9586	0.931	0.9446	chmpd	vg	chmpd	all	call	0.5
INS	[50,100]	188	300	2323	2321	0.8856	0.9251	0.9049	chmpd	vg	chmpd	all	call	0.5
DEL	(100,200]	434	228	600	601	0.7246	0.5807	0.6447	chmpd	vg	chmpd	all	geno	0.5
DEL	(1e+03,2.5e+03]	57	12	205	205	0.9447	0.7824	0.8559	chmpd	vg	chmpd	all	geno	0.5
DEL	(2.5e+03,5e+03]	30	6	101	101	0.9439	0.771	0.8487	chmpd	vg	chmpd	all	geno	0.5
DEL	(200,300]	127	67	231	231	0.7752	0.6453	0.7043	chmpd	vg	chmpd	all	geno	0.5
DEL	(300,400]	120	53	744	744	0.9335	0.8611	0.8958	chmpd	vg	chmpd	all	geno	0.5
DEL	(400,600]	45	18	104	104	0.8525	0.698	0.7676	chmpd	vg	chmpd	all	geno	0.5
DEL	(5e+03,Inf]	37	19	93	93	0.8304	0.7154	0.7686	chmpd	vg	chmpd	all	geno	0.5
DEL	(600,800]	46	8	60	60	0.8824	0.566	0.6896	chmpd	vg	chmpd	all	geno	0.5
DEL	(800,1e+03]	28	4	49	49	0.9245	0.6364	0.7539	chmpd	vg	chmpd	all	geno	0.5
DEL	[50,100]	934	595	1191	1191	0.6669	0.5605	0.6091	chmpd	vg	chmpd	all	geno	0.5
INS	(100,200]	387	356	1015	1015	0.7403	0.724	0.7321	chmpd	vg	chmpd	all	geno	0.5
INS	(1e+03,2.5e+03]	98	77	390	390	0.8351	0.7992	0.8168	chmpd	vg	chmpd	all	geno	0.5
INS	(2.5e+03,5e+03]	63	20	166	166	0.8925	0.7249	0.8	chmpd	vg	chmpd	all	geno	0.5
INS	(200,300]	136	115	450	449	0.7965	0.7675	0.7817	chmpd	vg	chmpd	all	geno	0.5
INS	(300,400]	138	93	872	872	0.9036	0.8634	0.883	chmpd	vg	chmpd	all	geno	0.5
INS	(400,600]	77	64	357	358	0.848	0.823	0.8353	chmpd	vg	chmpd	all	geno	0.5
INS	(5e+03,Inf]	52	29	85	85	0.7456	0.6204	0.6773	chmpd	vg	chmpd	all	geno	0.5
INS	(600,800]	46	38	251	251	0.8685	0.8451	0.8566	chmpd	vg	chmpd	all	geno	0.5
INS	(800,1e+03]	31	26	143	143	0.8462	0.8218	0.8338	chmpd	vg	chmpd	all	geno	0.5
INS	[50,100]	622	735	1886	1887	0.7196	0.7521	0.7355	chmpd	vg	chmpd	all	geno	0.5
DEL	(100,200]	17	1	157	157	0.9937	0.9023	0.9458	chmpd	vg	chmpd	nonrep	call	0.5
DEL	(1e+03,2.5e+03]	20	0	157	157	1	0.887	0.9401	chmpd	vg	chmpd	nonrep	call	0.5
DEL	(2.5e+03,5e+03]	7	0	63	63	1	0.9	0.9474	chmpd	vg	chmpd	nonrep	call	0.5
DEL	(200,300]	10	1	117	117	0.9915	0.9213	0.9551	chmpd	vg	chmpd	nonrep	call	0.5
DEL	(300,400]	4	8	653	653	0.9879	0.9939	0.9909	chmpd	vg	chmpd	nonrep	call	0.5
DEL	(400,600]	2	0	63	63	1	0.9692	0.9844	chmpd	vg	chmpd	nonrep	call	0.5
DEL	(5e+03,Inf]	9	1	86	86	0.9885	0.9053	0.9451	chmpd	vg	chmpd	nonrep	call	0.5
DEL	(600,800]	6	0	34	34	1	0.85	0.9189	chmpd	vg	chmpd	nonrep	call	0.5
DEL	(800,1e+03]	7	0	40	40	1	0.8511	0.9196	chmpd	vg	chmpd	nonrep	call	0.5
DEL	[50,100]	35	0	190	190	1	0.8444	0.9156	chmpd	vg	chmpd	nonrep	call	0.5
INS	(100,200]	7	17	380	365	0.9572	0.9812	0.9691	chmpd	vg	chmpd	nonrep	call	0.5
INS	(1e+03,2.5e+03]	12	2	230	229	0.9914	0.9502	0.9704	chmpd	vg	chmpd	nonrep	call	0.5
INS	(2.5e+03,5e+03]	19	0	127	126	1	0.869	0.9299	chmpd	vg	chmpd	nonrep	call	0.5
INS	(200,300]	2	2	190	180	0.9896	0.989	0.9893	chmpd	vg	chmpd	nonrep	call	0.5
INS	(300,400]	24	3	690	691	0.9957	0.9664	0.9808	chmpd	vg	chmpd	nonrep	call	0.5
INS	(400,600]	1	0	147	147	1	0.9932	0.9966	chmpd	vg	chmpd	nonrep	call	0.5
INS	(5e+03,Inf]	16	6	74	74	0.925	0.8222	0.8706	chmpd	vg	chmpd	nonrep	call	0.5
INS	(600,800]	2	1	107	104	0.9907	0.9811	0.9859	chmpd	vg	chmpd	nonrep	call	0.5
INS	(800,1e+03]	1	0	76	75	1	0.9868	0.9934	chmpd	vg	chmpd	nonrep	call	0.5
INS	[50,100]	28	38	620	574	0.9422	0.9535	0.9478	chmpd	vg	chmpd	nonrep	call	0.5
DEL	(100,200]	19	3	153	153	0.9808	0.8895	0.9329	chmpd	vg	chmpd	nonrep	geno	0.5
DEL	(1e+03,2.5e+03]	25	5	152	152	0.9682	0.8588	0.9102	chmpd	vg	chmpd	nonrep	geno	0.5
DEL	(2.5e+03,5e+03]	7	0	63	63	1	0.9	0.9474	chmpd	vg	chmpd	nonrep	geno	0.5
DEL	(200,300]	13	3	116	116	0.9748	0.8992	0.9355	chmpd	vg	chmpd	nonrep	geno	0.5
DEL	(300,400]	24	28	633	633	0.9576	0.9635	0.9605	chmpd	vg	chmpd	nonrep	geno	0.5
DEL	(400,600]	5	3	60	60	0.9524	0.9231	0.9375	chmpd	vg	chmpd	nonrep	geno	0.5
DEL	(5e+03,Inf]	23	15	72	72	0.8276	0.7579	0.7912	chmpd	vg	chmpd	nonrep	geno	0.5
DEL	(600,800]	6	0	34	34	1	0.85	0.9189	chmpd	vg	chmpd	nonrep	geno	0.5
DEL	(800,1e+03]	8	1	39	39	0.975	0.8298	0.8966	chmpd	vg	chmpd	nonrep	geno	0.5
DEL	[50,100]	36	2	186	186	0.9894	0.8378	0.9073	chmpd	vg	chmpd	nonrep	geno	0.5
INS	(100,200]	56	69	328	316	0.8262	0.8495	0.8377	chmpd	vg	chmpd	nonrep	geno	0.5
INS	(1e+03,2.5e+03]	26	16	216	215	0.931	0.8921	0.9111	chmpd	vg	chmpd	nonrep	geno	0.5
INS	(2.5e+03,5e+03]	21	2	125	124	0.9843	0.8552	0.9152	chmpd	vg	chmpd	nonrep	geno	0.5
INS	(200,300]	13	14	178	169	0.9271	0.9286	0.9278	chmpd	vg	chmpd	nonrep	geno	0.5
INS	(300,400]	50	29	664	665	0.9582	0.9301	0.9439	chmpd	vg	chmpd	nonrep	geno	0.5
INS	(400,600]	8	7	140	140	0.9524	0.9459	0.9491	chmpd	vg	chmpd	nonrep	geno	0.5
INS	(5e+03,Inf]	23	13	67	67	0.8375	0.7444	0.7882	chmpd	vg	chmpd	nonrep	geno	0.5
INS	(600,800]	7	6	102	99	0.9444	0.934	0.9392	chmpd	vg	chmpd	nonrep	geno	0.5
INS	(800,1e+03]	4	3	73	72	0.9605	0.9474	0.9539	chmpd	vg	chmpd	nonrep	geno	0.5
INS	[50,100]	72	92	566	530	0.8602	0.8804	0.8702	chmpd	vg	chmpd	nonrep	geno	0.5
DEL	(100,200]	410	46	628	628	0.9318	0.605	0.7337	chmpd	vgsub	chmpd	all	call	0.5
DEL	(1e+03,2.5e+03]	60	2	202	202	0.9902	0.771	0.867	chmpd	vgsub	chmpd	all	call	0.5
DEL	(2.5e+03,5e+03]	27	3	104	104	0.972	0.7939	0.874	chmpd	vgsub	chmpd	all	call	0.5
DEL	(200,300]	128	10	228	228	0.958	0.6404	0.7676	chmpd	vgsub	chmpd	all	call	0.5
DEL	(300,400]	117	10	746	746	0.9868	0.8644	0.9216	chmpd	vgsub	chmpd	all	call	0.5
DEL	(400,600]	47	6	102	102	0.9444	0.6846	0.7938	chmpd	vgsub	chmpd	all	call	0.5
DEL	(5e+03,Inf]	26	3	104	104	0.972	0.8	0.8777	chmpd	vgsub	chmpd	all	call	0.5
DEL	(600,800]	48	2	58	58	0.9667	0.5472	0.6988	chmpd	vgsub	chmpd	all	call	0.5
DEL	(800,1e+03]	30	1	47	47	0.9792	0.6104	0.752	chmpd	vgsub	chmpd	all	call	0.5
DEL	[50,100]	722	93	1411	1410	0.9382	0.6614	0.7759	chmpd	vgsub	chmpd	all	call	0.5
INS	(100,200]	186	199	1217	1216	0.8595	0.8673	0.8634	chmpd	vgsub	chmpd	all	call	0.5
INS	(1e+03,2.5e+03]	66	27	422	422	0.9399	0.8648	0.9008	chmpd	vgsub	chmpd	all	call	0.5
INS	(2.5e+03,5e+03]	52	12	177	177	0.9365	0.7729	0.8469	chmpd	vgsub	chmpd	all	call	0.5
INS	(200,300]	90	75	496	495	0.8687	0.8462	0.8573	chmpd	vgsub	chmpd	all	call	0.5
INS	(300,400]	113	60	897	897	0.9373	0.8881	0.912	chmpd	vgsub	chmpd	all	call	0.5
INS	(400,600]	44	30	391	391	0.9287	0.8989	0.9136	chmpd	vgsub	chmpd	all	call	0.5
INS	(5e+03,Inf]	36	25	101	101	0.8016	0.7372	0.7681	chmpd	vgsub	chmpd	all	call	0.5
INS	(600,800]	26	11	271	271	0.961	0.9125	0.9361	chmpd	vgsub	chmpd	all	call	0.5
INS	(800,1e+03]	19	12	155	155	0.9281	0.8908	0.9091	chmpd	vgsub	chmpd	all	call	0.5
INS	[50,100]	316	458	2195	2193	0.8274	0.8741	0.8501	chmpd	vgsub	chmpd	all	call	0.5
DEL	(100,200]	576	214	458	459	0.6815	0.4435	0.5373	chmpd	vgsub	chmpd	all	geno	0.5
DEL	(1e+03,2.5e+03]	76	18	186	186	0.9118	0.7099	0.7983	chmpd	vgsub	chmpd	all	geno	0.5
DEL	(2.5e+03,5e+03]	38	14	93	93	0.8692	0.7099	0.7815	chmpd	vgsub	chmpd	all	geno	0.5
DEL	(200,300]	197	78	161	161	0.6736	0.4497	0.5393	chmpd	vgsub	chmpd	all	geno	0.5
DEL	(300,400]	394	286	470	470	0.6217	0.544	0.5803	chmpd	vgsub	chmpd	all	geno	0.5
DEL	(400,600]	64	23	85	85	0.787	0.5705	0.6615	chmpd	vgsub	chmpd	all	geno	0.5
DEL	(5e+03,Inf]	40	17	90	90	0.8411	0.6923	0.7595	chmpd	vgsub	chmpd	all	geno	0.5
DEL	(600,800]	56	10	50	50	0.8333	0.4717	0.6024	chmpd	vgsub	chmpd	all	geno	0.5
DEL	(800,1e+03]	35	6	42	42	0.875	0.5455	0.672	chmpd	vgsub	chmpd	all	geno	0.5
DEL	[50,100]	1142	518	983	983	0.6549	0.4626	0.5422	chmpd	vgsub	chmpd	all	geno	0.5
INS	(100,200]	468	482	933	934	0.6594	0.6662	0.6628	chmpd	vgsub	chmpd	all	geno	0.5
INS	(1e+03,2.5e+03]	142	104	346	346	0.7689	0.709	0.7377	chmpd	vgsub	chmpd	all	geno	0.5
INS	(2.5e+03,5e+03]	86	46	143	143	0.7566	0.6245	0.6842	chmpd	vgsub	chmpd	all	geno	0.5
INS	(200,300]	208	193	378	377	0.662	0.6444	0.6531	chmpd	vgsub	chmpd	all	geno	0.5
INS	(300,400]	201	148	809	809	0.8454	0.801	0.8226	chmpd	vgsub	chmpd	all	geno	0.5
INS	(400,600]	120	105	314	315	0.7494	0.7241	0.7365	chmpd	vgsub	chmpd	all	geno	0.5
INS	(5e+03,Inf]	67	56	70	70	0.5556	0.5109	0.5323	chmpd	vgsub	chmpd	all	geno	0.5
INS	(600,800]	71	57	226	226	0.7986	0.7609	0.7793	chmpd	vgsub	chmpd	all	geno	0.5
INS	(800,1e+03]	42	34	132	132	0.7952	0.7586	0.7765	chmpd	vgsub	chmpd	all	geno	0.5
INS	[50,100]	854	996	1654	1655	0.6242	0.6596	0.6414	chmpd	vgsub	chmpd	all	geno	0.5
DEL	(100,200]	25	1	149	149	0.9933	0.8563	0.9197	chmpd	vgsub	chmpd	nonrep	call	0.5
DEL	(1e+03,2.5e+03]	28	0	149	149	1	0.8418	0.9141	chmpd	vgsub	chmpd	nonrep	call	0.5
DEL	(2.5e+03,5e+03]	8	0	62	62	1	0.8857	0.9394	chmpd	vgsub	chmpd	nonrep	call	0.5
DEL	(200,300]	13	1	114	114	0.9913	0.8976	0.9421	chmpd	vgsub	chmpd	nonrep	call	0.5
DEL	(300,400]	19	5	638	638	0.9922	0.9711	0.9815	chmpd	vgsub	chmpd	nonrep	call	0.5
DEL	(400,600]	6	1	59	59	0.9833	0.9077	0.944	chmpd	vgsub	chmpd	nonrep	call	0.5
DEL	(5e+03,Inf]	15	1	80	80	0.9877	0.8421	0.9091	chmpd	vgsub	chmpd	nonrep	call	0.5
DEL	(600,800]	8	0	32	32	1	0.8	0.8889	chmpd	vgsub	chmpd	nonrep	call	0.5
DEL	(800,1e+03]	11	0	36	36	1	0.766	0.8675	chmpd	vgsub	chmpd	nonrep	call	0.5
DEL	[50,100]	43	0	182	182	1	0.8089	0.8944	chmpd	vgsub	chmpd	nonrep	call	0.5
INS	(100,200]	30	41	367	342	0.8995	0.9194	0.9093	chmpd	vgsub	chmpd	nonrep	call	0.5
INS	(1e+03,2.5e+03]	42	11	200	199	0.9479	0.8257	0.8826	chmpd	vgsub	chmpd	nonrep	call	0.5
INS	(2.5e+03,5e+03]	35	2	110	110	0.9821	0.7586	0.856	chmpd	vgsub	chmpd	nonrep	call	0.5
INS	(200,300]	17	9	176	165	0.9514	0.9066	0.9285	chmpd	vgsub	chmpd	nonrep	call	0.5
INS	(300,400]	70	20	646	645	0.97	0.9021	0.9348	chmpd	vgsub	chmpd	nonrep	call	0.5
INS	(400,600]	9	7	139	139	0.9521	0.9392	0.9456	chmpd	vgsub	chmpd	nonrep	call	0.5
INS	(5e+03,Inf]	18	10	72	72	0.878	0.8	0.8372	chmpd	vgsub	chmpd	nonrep	call	0.5
INS	(600,800]	7	3	103	99	0.9717	0.934	0.9525	chmpd	vgsub	chmpd	nonrep	call	0.5
INS	(800,1e+03]	7	3	70	69	0.9589	0.9079	0.9327	chmpd	vgsub	chmpd	nonrep	call	0.5
INS	[50,100]	57	64	608	545	0.9048	0.9053	0.905	chmpd	vgsub	chmpd	nonrep	call	0.5
DEL	(100,200]	39	15	133	133	0.8986	0.7733	0.8313	chmpd	vgsub	chmpd	nonrep	geno	0.5
DEL	(1e+03,2.5e+03]	37	8	140	140	0.9459	0.791	0.8615	chmpd	vgsub	chmpd	nonrep	geno	0.5
DEL	(2.5e+03,5e+03]	11	3	59	59	0.9516	0.8429	0.894	chmpd	vgsub	chmpd	nonrep	geno	0.5
DEL	(200,300]	40	27	89	89	0.7672	0.6899	0.7265	chmpd	vgsub	chmpd	nonrep	geno	0.5
DEL	(300,400]	254	240	403	403	0.6267	0.6134	0.62	chmpd	vgsub	chmpd	nonrep	geno	0.5
DEL	(400,600]	15	10	50	50	0.8333	0.7692	0.8	chmpd	vgsub	chmpd	nonrep	geno	0.5
DEL	(5e+03,Inf]	27	13	68	68	0.8395	0.7158	0.7727	chmpd	vgsub	chmpd	nonrep	geno	0.5
DEL	(600,800]	10	2	30	30	0.9375	0.75	0.8333	chmpd	vgsub	chmpd	nonrep	geno	0.5
DEL	(800,1e+03]	11	0	36	36	1	0.766	0.8675	chmpd	vgsub	chmpd	nonrep	geno	0.5
DEL	[50,100]	47	5	175	175	0.9722	0.7883	0.8706	chmpd	vgsub	chmpd	nonrep	geno	0.5
INS	(100,200]	72	94	314	300	0.7696	0.8065	0.7876	chmpd	vgsub	chmpd	nonrep	geno	0.5
INS	(1e+03,2.5e+03]	59	28	183	182	0.8673	0.7552	0.8074	chmpd	vgsub	chmpd	nonrep	geno	0.5
INS	(2.5e+03,5e+03]	51	16	95	94	0.8559	0.6483	0.7378	chmpd	vgsub	chmpd	nonrep	geno	0.5
INS	(200,300]	34	30	155	148	0.8378	0.8132	0.8253	chmpd	vgsub	chmpd	nonrep	geno	0.5
INS	(300,400]	99	50	616	616	0.9249	0.8615	0.8921	chmpd	vgsub	chmpd	nonrep	geno	0.5
